Index       TIME          {V(VOUT)+1.0}      {V(IN)+1.0}          V(1)       
123      3.00879535e-06    5.29765934e+00    3.72097803e+00    3.79535350e+00
124      3.00882435e-06    5.20310620e+00    3.75806160e+00    3.82434527e+00
125      3.00885044e-06    5.08817692e+00    3.79614539e+00    3.85043786e+00
126      3.00887653e-06    4.96154167e+00    3.83324964e+00    3.87653045e+00
127      3.00890262e-06    4.82832559e+00    3.87044759e+00    3.90262305e+00
128      3.00892872e-06    4.68629109e+00    3.90681029e+00    3.92871564e+00
129      3.00895481e-06    4.53682734e+00    3.94319345e+00    3.95480824e+00
130      3.00898090e-06    4.37956729e+00    3.97885798e+00    3.98090083e+00
131      3.00900699e-06    4.21508278e+00    4.01448963e+00    4.00699343e+00
132      3.00903309e-06    4.04349988e+00    4.04949893e+00    4.03308602e+00
133      3.00908527e-06    3.68068508e+00    4.11894866e+00    4.08527121e+00
134      3.00913746e-06    3.29397423e+00    4.18694535e+00    4.13745640e+00
135      3.00918964e-06    2.88694257e+00    4.25404312e+00    4.18964158e+00
136      3.00924183e-06    2.50211294e+00    4.30955063e+00    4.24182677e+00
137      3.00928879e-06    2.22032088e+00    4.34370608e+00    4.28879344e+00
138      3.00932649e-06    2.03642922e+00    4.36573415e+00    4.32648974e+00
139      3.00936419e-06    1.87936589e+00    4.38792555e+00    4.36418604e+00
140      3.00940188e-06    1.74520568e+00    4.41173912e+00    4.40188234e+00
141      3.00943958e-06    1.63108052e+00    4.43811449e+00    4.43957863e+00
142      3.00947727e-06    1.53472373e+00    4.46733224e+00    4.47727493e+00
143      3.00951497e-06    1.45380019e+00    4.49955257e+00    4.51497123e+00
144      3.00955267e-06    1.38636826e+00    4.53459651e+00    4.55266753e+00
145      3.00959036e-06    1.33043085e+00    4.57239845e+00    4.59036383e+00
146      3.00962806e-06    1.28439830e+00    4.61271418e+00    4.62806012e+00
147      3.00966576e-06    1.24664216e+00    4.65541666e+00    4.66575642e+00
148      3.00970345e-06    1.21593622e+00    4.70029073e+00    4.70345272e+00
149      3.00977885e-06    1.16834293e+00    4.78902762e+00    4.77884532e+00
150      3.00985424e-06    1.13337074e+00    4.87066210e+00    4.85423791e+00
151      3.00992963e-06    1.10755443e+00    4.94560296e+00    4.92963051e+00
152      3.01000000e-06    1.08994971e+00    5.01105671e+00    5.00000000e+00
153      3.01001508e-06    1.08687732e+00    5.02442434e+00    5.00000000e+00
154      3.01003016e-06    1.08391868e+00    5.03742807e+00    5.00000000e+00
155      3.01006031e-06    1.07821523e+00    5.06275756e+00    5.00000000e+00
156      3.01012063e-06    1.06860117e+00    5.11134382e+00    5.00000000e+00
157      3.01024126e-06    1.05484347e+00    5.20171699e+00    5.00000000e+00
158      3.01048251e-06    1.03860554e+00    5.35722762e+00    5.00000000e+00
159      3.01072377e-06    1.02922276e+00    5.48294458e+00    5.00000000e+00
160      3.01096503e-06    1.02250615e+00    5.58419009e+00    5.00000000e+00
161      3.01120628e-06    1.01751704e+00    5.66566211e+00    5.00000000e+00
162      3.01144754e-06    1.01373074e+00    5.73120542e+00    5.00000000e+00
163      3.01168879e-06    1.01082691e+00    5.78391477e+00    5.00000000e+00
164      3.01217131e-06    1.00676077e+00    5.86112174e+00    5.00000000e+00
165      3.01313633e-06    1.00258391e+00    5.94534522e+00    5.00000000e+00
166      3.01410136e-06    1.00100720e+00    5.97850014e+00    5.00000000e+00
167      3.01506638e-06    1.00039428e+00    5.99154107e+00    5.00000000e+00
168      3.01699643e-06    1.00002682e+00    5.99941691e+00    5.00000000e+00
169      3.01892648e-06    1.00000244e+00    5.99995863e+00    5.00000000e+00
170      3.02278658e-06    9.99998840e-01    6.00001193e+00    5.00000000e+00
171      3.02664669e-06    1.00000088e+00    5.99999605e+00    5.00000000e+00
172      3.03436689e-06    9.99999150e-01    6.00000262e+00    5.00000000e+00
173      3.04980729e-06    1.00000085e+00    5.99999779e+00    5.00000000e+00
174      3.08068810e-06    9.99999149e-01    6.00000204e+00    5.00000000e+00
175      3.14244971e-06    1.00000086e+00    5.99999803e+00    5.00000000e+00
176      3.26597294e-06    9.99999147e-01    6.00000193e+00    5.00000000e+00
177      3.51301940e-06    1.00000086e+00    5.99999808e+00    5.00000000e+00
178      3.81301940e-06    9.99999146e-01    6.00000190e+00    5.00000000e+00
179      4.11301940e-06    1.00000086e+00    5.99999811e+00    5.00000000e+00
180      4.41301940e-06    9.99999146e-01    6.00000188e+00    5.00000000e+00
181      4.50000000e-06    1.00000086e+00    5.99999817e+00    5.00000000e+00
