Index       TIME            {V(VI)+1}         {V(VO)+1}    
77       7.70000000e-07    1.00512650e+00    1.99998702e+00
78       7.80000000e-07    1.00919343e+00    1.99998540e+00
79       7.90000000e-07    1.01695210e+00    1.99998783e+00
80       8.00000000e-07    1.02471076e+00    1.99999027e+00
81       8.10000000e-07    1.03624032e+00    1.99998840e+00
82       8.20000000e-07    1.04826530e+00    1.99998596e+00
83       8.30000000e-07    1.06270980e+00    1.99998646e+00
84       8.40000000e-07    1.07875432e+00    1.99998889e+00
85       8.50000000e-07    1.09597974e+00    1.99998977e+00
86       8.60000000e-07    1.11571453e+00    1.99998734e+00
87       8.70000000e-07    1.13557438e+00    1.99998509e+00
88       8.80000000e-07    1.15859444e+00    1.99998752e+00
89       8.90000000e-07    1.18161449e+00    1.99998995e+00
90       9.00000000e-07    1.20676144e+00    1.99998871e+00
91       9.10000000e-07    1.23259434e+00    1.99998627e+00
92       9.20000000e-07    1.25950970e+00    1.99998615e+00
93       9.30000000e-07    1.28762531e+00    1.99998858e+00
94       9.40000000e-07    1.31594039e+00    1.99998823e+00
95       9.50000000e-07    1.34549672e+00    1.99998777e+00
96       9.60000000e-07    1.37565537e+00    1.99998777e+00
97       9.70000000e-07    1.40630940e+00    1.99998777e+00
98       9.80000000e-07    1.43733370e+00    9.99999664e-01
99       9.90000000e-07    1.46860582e+00    1.00000037e+00
100      1.00000000e-06    1.50000020e+00    1.00000033e+00
101      1.01000000e-06    1.53139213e+00    9.99999692e-01
102      1.02000000e-06    1.56253457e+00    9.99999988e-01
103      1.03000000e-06    1.59365680e+00    1.00000037e+00
104      1.04000000e-06    1.62408788e+00    1.00000008e+00
105      1.05000000e-06    1.65442580e+00    9.99999696e-01
106      1.06000000e-06    1.68368827e+00    9.99999955e-01
107      1.07000000e-06    1.71274241e+00    1.00000034e+00
108      1.08000000e-06    1.74039708e+00    1.00000011e+00
